date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-04-09,0.8712870393094538,0.12871296069054616,1.0,1.2862627975775363,0.8463673415338735,0.8847115378994652,0.11528846210053478,0.1536326584661265,1.0,1.0,1.2507445714553385,1.327345256967156
2022-04-10,0.880425304328493,0.11957469567150703,1.0,1.289265189661124,0.856136858160986,0.8933269245756383,0.10667307542436166,0.14386314183901405,1.0,1.0,1.2536388859447793,1.3307794264953614
2022-04-11,0.8889899641653033,0.11101003583469671,1.0,1.2920791228135422,0.8653760915874146,0.9013633735177073,0.09863662648229266,0.13462390841258542,1.0,1.0,1.2563760988692376,1.3339691962326499
2022-04-12,0.8970063747314462,0.10299362526855382,1.0,1.294712927761465,0.8741021982362889,0.908850159135777,0.09114984086422295,0.12589780176371113,1.0,1.0,1.258961292986227,1.3369276554327334
2022-04-13,0.9045003399415783,0.0954996600584217,1.0,1.2971750824237234,0.8823333461872338,0.9161945191141074,0.08380548088589257,0.1176666538127662,1.0,1.0,1.2613998507663569,1.3396678925290324
2022-04-14,0.911497820162813,0.088502179837187,1.0,1.2994741161218624,0.8900884538510678,0.923032137539345,0.07696786246065501,0.10991154614893217,1.0,1.0,1.263697376973162,1.3422028557840666
2022-04-15,0.9180246812763001,0.0819753187236999,1.0,1.3016185271339067,0.8973869536466031,0.9293503047602977,0.07064969523970233,0.10261304635339685,1.0,1.0,1.265859628650054,1.3445452388695518
2022-04-16,0.924106482013609,0.07589351798639099,1.0,1.3036167128233793,0.9042485807907631,0.9351823254162275,0.06481767458377252,0.09575141920923691,1.0,1.0,1.2678924525473358,1.3467073890724377
2022-04-17,0.9297682967861036,0.07023170321389638,1.0,1.3054769114295985,0.9106931867579147,0.9405603767345303,0.0594396232654697,0.08930681324208534,1.0,1.0,1.2698017298577093,1.3487012357055383
2022-04-18,0.935034570956975,0.06496542904302505,1.0,1.3072071545170645,0.916740576527813,0.9455153633755173,0.05448463662448266,0.08325942347218696,1.0,1.0,1.2715933279993963,1.3505382362930127
2022-04-19,0.9399290053809743,0.06007099461902565,1.0,1.3088152290407993,0.9224103684127626,0.9500768138621584,0.049923186137841635,0.07758963158723742,1.0,1.0,1.2732730590885661,1.352229338172962
2022-04-20,0.9444744670263556,0.055525532973644376,1.0,1.3103086479810369,0.927721875020864,0.954272812582224,0.04572718741777604,0.072278124979136,1.0,1.0,1.2748466446735405,1.3537849532880548
2022-04-21,0.9486929225704466,0.05130707742955343,1.0,1.3116946285259385,0.9326940037601299,0.9581299617970461,0.041870038202953874,0.0673059962398701,1.0,1.0,1.2763196862581656,1.355214944100743
2022-04-22,0.9526053920011864,0.047394607998813565,1.0,1.312980076827302,0.9373451752047618,0.961673368595263,0.03832663140473702,0.0626548247952382,1.0,1.0,1.2776976411170287,1.3565286187565218
2022-04-23,0.9562319194423687,0.04376808055763126,1.0,1.3141715784151453,0.9416932576174388,0.9649266522585533,0.03507334774144666,0.05830674238256117,1.0,1.0,1.2789858028970464,1.3577347338146837
2022-04-24,0.9595915586337738,0.04040844136622623,1.0,1.315275393427182,0.9457555159385684,0.9679119680348472,0.03208803196515275,0.054244484061431564,1.0,1.0,1.2801892865050346,1.3588415030619476
2022-04-25,0.9627023707259204,0.03729762927407965,1.0,1.316297455884282,0.9495485736049052,0.9706500438252407,0.02934995617475933,0.05045142639509481,1.0,1.0,1.2813130167961009,1.359856611113682
2022-04-26,0.965581432282525,0.03441856771747498,1.0,1.3172433763196927,0.9530883856367348,0.9731602267718193,0.026839773228180652,0.046911614363265186,1.0,1.0,1.2823617206004623,1.3607872306857696
2022-04-27,0.9682448516142327,0.03175514838576732,1.0,1.318118447145515,0.9563902215273861,0.975460537177408,0.024539462822592006,0.043609778472613936,1.0,1.0,1.2833399216542938,1.361640042584693
2022-04-28,0.9707077917891116,0.029292208210888404,1.0,1.3189276502128369,0.9594686565748031,0.9775677275908856,0.022432272409114384,0.04053134342519693,1.0,1.0,1.2842519380316255,1.362421257612693
